PassengerId,Survived,Survival_Status
1157,0,Not Survived
1158,0,Not Survived
1159,0,Not Survived
1160,1,Survived
1161,0,Not Survived
1162,0,Not Survived
1163,0,Not Survived
1164,1,Survived
1165,1,Survived
1166,0,Not Survived
1167,1,Survived
1168,0,Not Survived
1169,0,Not Survived
1170,0,Not Survived
1171,0,Not Survived
1172,1,Survived
1173,0,Not Survived
1174,1,Survived
1175,1,Survived
1176,1,Survived
1177,0,Not Survived
1178,0,Not Survived
1179,0,Not Survived
1180,0,Not Survived
1181,0,Not Survived
1182,0,Not Survived
1183,1,Survived
1184,0,Not Survived
1185,0,Not Survived
1186,0,Not Survived
1187,0,Not Survived
1188,1,Survived
1189,0,Not Survived
1190,0,Not Survived
1191,0,Not Survived
1192,0,Not Survived
1193,0,Not Survived
1194,0,Not Survived
1195,0,Not Survived
1196,1,Survived
1197,1,Survived
1198,0,Not Survived
1199,0,Not Survived
1200,0,Not Survived
1201,1,Survived
1202,0,Not Survived
1203,0,Not Survived
1204,0,Not Survived
1205,1,Survived
1206,1,Survived
1207,1,Survived
1208,0,Not Survived
1209,0,Not Survived
1210,0,Not Survived
1211,0,Not Survived
1212,0,Not Survived
1213,0,Not Survived
1214,0,Not Survived
1215,0,Not Survived
1216,1,Survived
1217,0,Not Survived
1218,1,Survived
1219,0,Not Survived
1220,0,Not Survived
1221,0,Not Survived
1222,1,Survived
1223,0,Not Survived
1224,0,Not Survived
1225,1,Survived
1226,0,Not Survived
1227,0,Not Survived
1228,0,Not Survived
1229,0,Not Survived
1230,0,Not Survived
1231,0,Not Survived
1232,0,Not Survived
1233,0,Not Survived
1234,0,Not Survived
1235,1,Survived
1236,0,Not Survived
1237,1,Survived
1238,0,Not Survived
1239,1,Survived
1240,0,Not Survived
1241,1,Survived
1242,1,Survived
1243,0,Not Survived
1244,0,Not Survived
1245,0,Not Survived
1246,1,Survived
1247,0,Not Survived
1248,1,Survived
1249,0,Not Survived
1250,0,Not Survived
1251,1,Survived
1252,0,Not Survived
1253,1,Survived
1254,1,Survived
1255,0,Not Survived
1256,1,Survived
1257,1,Survived
1258,0,Not Survived
1259,1,Survived
1260,1,Survived
1261,0,Not Survived
1262,0,Not Survived
1263,1,Survived
1264,0,Not Survived
1265,0,Not Survived
1266,1,Survived
1267,1,Survived
1268,1,Survived
1269,0,Not Survived
1270,0,Not Survived
1271,0,Not Survived
1272,0,Not Survived
1273,0,Not Survived
1274,1,Survived
1275,1,Survived
1276,0,Not Survived
1277,1,Survived
1278,0,Not Survived
1279,0,Not Survived
1280,0,Not Survived
1281,0,Not Survived
1282,0,Not Survived
1283,1,Survived
1284,0,Not Survived
1285,0,Not Survived
1286,0,Not Survived
1287,1,Survived
1288,0,Not Survived
1289,1,Survived
1290,0,Not Survived
1291,0,Not Survived
1292,1,Survived
1293,0,Not Survived
1294,1,Survived
1295,0,Not Survived
1296,0,Not Survived
1297,0,Not Survived
1298,0,Not Survived
1299,0,Not Survived
1300,1,Survived
1301,1,Survived
1302,1,Survived
1303,1,Survived
1304,1,Survived
1305,0,Not Survived
1306,1,Survived
1307,0,Not Survived
1308,0,Not Survived
1309,0,Not Survived
